TimePeriod,ProratedQuantity
2023-12-29,6914102.104655124
2023-12-30,6865158.7157293055
2023-12-31,6688442.995601664
2024-01-01,6618452.794743313
2024-01-02,6905787.062631823
2024-01-03,6968869.541432312
2024-01-04,7022652.131175894
2024-01-05,7075685.945472707
2024-01-06,7339838.514181184
2024-01-07,7398707.439307012
2024-01-08,7298950.774096219
2024-01-09,6950900.002689148
2024-01-10,6789401.999658659
2024-01-11,6739742.815572398
2024-01-12,6735767.0304982485
2024-01-13,6608172.525181575
2024-01-14,6016031.10789134
2024-01-15,5984733.173234405
2024-01-16,6129494.552030809
2024-01-17,6177037.284121152
2024-01-18,6141423.672008276
2024-01-19,6048546.374390606
2024-01-20,5936051.429796129
2024-01-21,5709303.011160442
2024-01-22,5912691.248354065
2024-01-23,5854759.934340016
2024-01-24,5782008.098768203
2024-01-25,5809681.108898088
2024-01-26,5897100.999552536
2024-01-27,5952563.734343608
2024-01-28,5802460.379781548
2024-01-29,6070231.5785077335
2024-01-30,6169605.648502299
2024-01-31,6048400.307315599
2024-02-01,6205815.548780038
2024-02-02,6170004.782999147
2024-02-03,6057617.961431833
2024-02-04,5963221.626168618
2024-02-05,6111173.152232615
2024-02-06,6160526.524841531
2024-02-07,6058783.3815895645
2024-02-08,6234422.351368003
2024-02-09,6454040.292987501
2024-02-10,6762347.948660248
2024-02-11,6472679.25902315
2024-02-12,6226444.781427026
2024-02-13,6364785.464825736
2024-02-14,6413696.448939086
2024-02-15,6530545.334617366
2024-02-16,6457163.992715622
2024-02-17,6645191.55864552
2024-02-18,6361275.64297641
2024-02-19,6136493.10859696
2024-02-20,6262816.049600267
2024-02-21,6053873.526541649
2024-02-22,6048345.265574319
2024-02-23,5983097.332240529
2024-02-24,6019047.522043758
2024-02-25,5816311.66191787
2024-02-26,5876022.099782792
2024-02-27,5896865.958851852
2024-02-28,5881714.670811704
2024-02-29,5953525.755205684
2024-03-01,5715401.678491147
2024-03-02,5666325.999586211
2024-03-03,5491752.099950334
2024-03-04,5746015.575297397
2024-03-05,5743154.820245887
2024-03-06,5683815.756487614
2024-03-07,5683609.545429572
2024-03-08,5588072.800940482
2024-03-09,5577002.669049604
2024-03-10,5399969.516034933
2024-03-11,5567276.222570956
2024-03-12,5603746.060587779
2024-03-13,5607724.962888368
2024-03-14,5599543.496448865
2024-03-15,5779801.603315169
2024-03-16,6348370.417570873
2024-03-17,6038971.02919339
2024-03-18,5715361.605103893
2024-03-19,5654766.469754572
2024-03-20,5610403.451732572
2024-03-21,5578898.697729523
2024-03-22,5529830.488160722
2024-03-23,5511432.23821626
2024-03-24,5324509.783431638
2024-03-25,5436402.360340655
2024-03-26,5451211.172705485
