sort,READABLE_TIMESTAMP,created_at,team_id,method,response_status,path,input_tokens,output_tokens,finetune_tokens,price_of_request_in_cents
1,"Fri, 2/23/24 3:22 AM",2024-02-23T03:22:56.78213+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,36000,17400,0,9888
2,"Fri, 2/23/24 3:24 AM",2024-02-23T03:24:51.208425+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,75600,17400,0,14640
3,"Fri, 2/23/24 3:28 AM",2024-02-23T03:28:48.285109+00:00,1244352,POST,200,/timegpt_multi_series,144,12,0,21
4,"Wed, 3/6/24 8:12 PM",2024-03-06T20:12:27.388307+00:00,1244352,POST,500,/timegpt_multi_series_anomalies,null,null,null,0
5,"Thu, 2/29/24 9:32 PM",2024-02-29T21:32:27.186273+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,273,315,0,134
6,"Fri, 3/1/24 5:39 AM",2024-03-01T05:39:50.656881+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
7,"Fri, 3/1/24 5:43 AM",2024-03-01T05:43:21.462582+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
8,"Fri, 3/1/24 6:01 AM",2024-03-01T06:01:43.457363+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
9,"Fri, 3/1/24 6:03 AM",2024-03-01T06:03:06.559465+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
10,"Mon, 3/4/24 11:46 PM",2024-03-04T23:46:50.710165+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
11,"Mon, 3/4/24 11:47 PM",2024-03-04T23:47:37.365836+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,4230,280,0,597
12,"Thu, 3/7/24 9:06 PM",2024-03-07T21:06:02.535433+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,4050,280,0,576
13,"Thu, 3/7/24 9:06 PM",2024-03-07T21:06:36.864657+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
14,"Thu, 3/7/24 9:07 PM",2024-03-07T21:07:04.141661+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
15,"Thu, 3/7/24 9:07 PM",2024-03-07T21:07:17.181506+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,4230,280,0,597
16,"Thu, 3/7/24 9:03 PM",2024-03-07T21:03:31.013631+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
17,"Thu, 3/7/24 9:04 PM",2024-03-07T21:04:59.423492+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
18,"Thu, 3/7/24 9:05 PM",2024-03-07T21:05:29.675128+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
19,"Fri, 3/8/24 7:34 PM",2024-03-08T19:34:20.925562+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
20,"Wed, 3/6/24 7:31 PM",2024-03-06T19:31:31.85489+00:00,1244352,POST,500,/timegpt_multi_series_anomalies,null,null,null,0
21,"Wed, 3/6/24 11:15 PM",2024-03-06T23:15:24.700201+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
22,"Wed, 3/6/24 11:52 PM",2024-03-06T23:52:41.243787+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
23,"Thu, 3/7/24 12:40 AM",2024-03-07T00:40:22.043118+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
24,"Mon, 3/4/24 6:50 PM",2024-03-04T18:50:51.738413+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
25,"Mon, 3/4/24 6:52 PM",2024-03-04T18:52:06.731251+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
26,"Mon, 3/4/24 7:19 PM",2024-03-04T19:19:14.961178+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
27,"Mon, 3/4/24 11:39 PM",2024-03-04T23:39:09.836984+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
28,"Mon, 3/4/24 11:39 PM",2024-03-04T23:39:54.356955+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,90,280,0,100
29,"Mon, 3/4/24 11:43 PM",2024-03-04T23:43:06.016644+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,4050,280,0,576
30,"Mon, 3/4/24 11:46 PM",2024-03-04T23:46:10.208078+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,270,280,0,122
31,"Fri, 2/23/24 3:30 AM",2024-02-23T03:30:46.894119+00:00,1244352,POST,200,/timegpt_multi_series,144,36,0,29
32,"Fri, 2/23/24 3:32 AM",2024-02-23T03:32:13.978263+00:00,1244352,POST,200,/timegpt_multi_series,144,6,0,19
33,"Fri, 2/23/24 3:33 AM",2024-02-23T03:33:22.927095+00:00,1244352,POST,200,/timegpt_multi_series,144,36,0,29
34,"Wed, 3/6/24 9:06 PM",2024-03-06T21:06:31.26001+00:00,1244352,POST,500,/timegpt_multi_series_anomalies,null,null,null,0
35,"Wed, 3/6/24 9:25 PM",2024-03-06T21:25:45.854481+00:00,1244352,POST,500,/timegpt_multi_series_anomalies,null,null,null,0
36,"Wed, 3/6/24 9:32 PM",2024-03-06T21:32:30.045684+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
37,"Wed, 3/6/24 10:49 PM",2024-03-06T22:49:59.756056+00:00,1244352,POST,200,/timegpt_multi_series_anomalies,178,735,0,257
